c2,c0,729,129,229,ff9a,
21403,95486,62788,38892,22484,4986,
77116,329816,126631,90538,45401,4288,
70964,255119,89870,52501,24384,3758,
306609,1541664,977424,604319,374707,29804,
767987,4261002,2439699,1502066,879315,35614,
46414,214297,129511,78009,47925,6319,
19,59,49,29,16,2576,
41025,180892,112038,68530,39915,5528,
135630,545429,242281,156731,80000,9725,
3782,15616,12044,7261,4648,5432,
784951,3729627,2071488,1308654,734291,19740,
6485,33258,21903,11359,7332,3105,
40847,196033,123222,72969,46878,9265,
27716,119535,76357,47580,26529,8454,
401424,1608454,569272,376133,185308,12608,
827621,4454628,2620799,1617429,963919,27579,
0,0,0,0,0,2246,
277605,1529963,931556,576258,336996,16486,
2594077,13989319,8354471,6054211,2184688,169316,
317595,1368400,608626,435525,162269,26822,
269871,1169991,480845,336329,140745,11794,
5174,24026,20585,13283,6499,6137,
15254,64255,37188,23341,12596,5315,
25284,104703,66687,41358,23351,6644,
74422,295464,114440,74206,38691,7777,
880589,4735546,2774698,1708545,1023735,35223,
6588,34733,22435,13278,8593,2822,
279648,1539837,933434,576625,338491,16443,
14856,62378,37917,23706,12955,5227,
3336,14925,10525,6275,3958,5131,
233107,1138221,716610,461808,245856,41147,
805120,3828175,2173785,1367901,774358,40366,
37537,181896,113287,67162,43057,6584,
372091,1887964,1147619,715189,426703,19167,
468537,2616296,1432660,875251,524903,15771,
286245,1564318,970181,600462,351784,15758,
3268,15145,11922,8165,3333,4126,
44660,196274,127040,77290,45743,8101,
28550,128937,83805,52338,29185,7026,
2936,12885,8891,5567,3174,5290,
14864,62412,37892,23703,12983,5080,
23323,115944,81927,50290,30577,4651,
59743,304906,189072,122588,64327,6661,
23382,97828,61883,38415,21478,5847,
8442,33830,22480,13826,8045,6787,
827615,4455020,2607926,1608636,959493,16547,
6588,34733,22289,13195,8539,2875,
277196,1530783,947326,586210,343088,12777,
18209,78982,48967,30741,16770,4762,
1732,8105,5579,3398,2051,3688,
17862,74273,44656,28313,15099,4980,
773522,3673659,2068917,1306266,733414,20307,
41555,196336,120490,71627,45813,8519,
381653,1922907,1162538,726584,434088,20015,
3569320,17332701,8863491,5728348,3030968,65369,
296124,1637358,990288,608428,362700,16751,
19,59,49,29,16,2532,
68564,335690,220003,129340,84430,6473,
25874,111560,70410,43913,24588,6043,
1898,8925,5844,3587,2115,4868,
26786,117870,65934,39894,23747,6490,
8148,39287,27949,17243,10444,4137,
18186,76422,42722,26380,14998,5816,
22645,94749,56300,34934,19596,5934,
32425,143159,94376,54895,36959,13641,
827271,4453782,2613207,1611024,962500,15787,
6588,34733,22140,13134,8470,3790,
274405,1517004,943011,582937,341890,9949,
15401,64827,37844,23649,12922,4271,
406564,1810210,879382,653715,215411,95967,
16177,69196,46694,28550,16717,5310,
39636,155635,52783,36434,15515,4436,
813187,3867528,2188222,1378553,777518,26100,
26090,113110,73277,45976,25241,7803,
539792,2563577,1371767,906730,450279,67231,
832005,4475023,2635645,1626936,968448,28447,
2595,10217,8521,5533,2957,2725,
274649,1518193,937042,579289,339407,15389,
22797,100353,64824,40679,22199,4469,
4066707,17838317,7511252,5006933,2382617,80136,
9759557,45102906,21086317,13892405,6866035,148831,
164222,766698,437542,294590,134306,17103,
189225,932234,529095,345016,173983,11598,
36149,152164,90967,58077,30264,7353,
31837,132159,61518,38773,20817,9832,
891232,4770875,2774394,1709832,1020733,36308,
38663,208358,78080,43544,31175,10108,
284635,1560923,955561,590334,346334,28648,
14837,62295,38252,23937,13042,3632,
4540,20101,14445,8782,5172,6196,
836620,4101192,2151415,1366102,757079,52087,
38591,184128,131145,76601,51872,12556,
805936,3813647,2173872,1369413,771409,60013,
19840,86866,55326,34816,18876,6616,
31436,155834,102420,60044,39658,9614,
52458,246016,150723,89738,56496,8557,
0,0,0,0,0,1685,
794026,4271720,2516923,1543883,933428,22983,
357590,1840870,1016469,639684,362776,17388,
140993,580086,263930,169671,85591,13044,
553088,2697994,1277577,805379,453668,11363,
12900,59892,35810,21002,13460,4899,
26906,121721,76026,46866,27419,5655,
32601,143186,91163,56289,32642,8991,
75682,326594,223688,139899,76419,19071,
884266,4723504,2772286,1707665,1021557,19330,
6607,34792,22163,13086,8522,5053,
288908,1586394,979508,605130,355214,13070,
17692,74538,47149,29532,16295,4527,
4907727,19191318,5911234,4119938,1669263,83451,
16533,70267,40897,25753,13920,4446,
26511,134376,83319,53001,28365,10656,
802900,3808477,2154103,1357691,761496,33887,
182911,754420,354734,227647,119871,11067,
3094569,14671928,7404603,4846146,2493527,65911,
852959,4586145,2677592,1648892,988023,24668,
0,0,0,0,0,2829,
315832,1737463,1081263,662337,396992,18567,
18360,79086,47140,29800,16013,6209,
273854,1261628,757823,546395,202828,70423,
16701,71092,42545,26788,14435,4170,
6599,30677,14187,9128,4485,6245,
24784,110033,67466,42088,23907,5778,
430974,2203173,1382288,863024,513499,11716,
415749,2324277,1233077,751253,446807,14207,
284652,1571830,960280,592305,349986,17532,
6588,34733,23898,14148,9154,4945,
54865,245914,155130,94703,55478,6661,
154952,619653,248150,164795,78945,10363,
1895,8833,6955,4349,2454,3953,
16527,70143,40499,25524,13759,3982,
101,481,301,177,96,2731,
16611,70573,38917,24599,13186,4036,
897969,4274263,2382034,1493074,853713,47684,
4878522,19130666,5921575,4125246,1682359,88481,
904606,4763008,2750483,1695057,1004535,20428,
0,0,0,0,0,1954,
291289,1594904,983366,607930,355935,15806,
645001,3473468,2037523,1256864,768658,14046,
124391,681526,365132,218880,122808,5709,
484125,2416129,1220237,796550,407460,15858,
4430,24573,16283,9418,6564,2361,
27045,119055,69018,41808,24794,7040,
67986,344324,212566,136793,73415,8819,
339878,1642404,864529,566318,273422,38558,
3098861,15909676,7865512,4958198,2765121,70626,
6588,34733,22767,13452,8774,6171,
798423,4291260,2484389,1522509,922699,13780,
259941,1449230,863824,535609,313207,8621,
6076,24169,19421,11956,7274,7289,
162949,785555,519700,324467,191851,56560,
698139,3811868,2435959,1672296,727695,28962,
16588,70472,42485,26668,14531,4415,
798738,3784625,2145994,1355602,758512,44543,
64175,297230,196733,120594,69669,18014,
100986,438888,217741,136050,76153,9216,
19,59,49,29,16,2568,
59870,269396,165503,100889,59291,4893,
16686,70842,43673,27369,14992,3569,
513152,2038368,699449,474592,212703,12967,
143732,578353,213877,142118,68198,5331,
0,0,0,0,0,1652,
19959,84773,46088,28618,16095,6357,
51512,216971,112186,69876,39981,6458,
20162,79768,37386,25434,10136,8249,
95897,404116,181820,115452,62060,5891,
6588,34733,22309,13176,8588,4757,
59919,269640,156384,95386,55998,4065,
50825,225275,143251,90268,48150,5989,
177772,799156,385541,261245,129238,30562,
2759522,11114282,3878922,2640546,1172266,41012,
6327,34843,25430,15659,9365,3772,
15039,64599,37302,23369,12819,6636,
22025,96258,58549,36802,20425,5963,
3870646,18361135,9393974,6095874,3204596,70869,
175893,751019,350874,221402,122069,11484,
0,0,0,0,0,2298,
87217,424665,274459,161633,104821,8265,
90803,363731,147995,97136,48230,6363,
283314,1131087,409172,275220,127071,9840,
17615,75453,46937,29283,16244,4342,
3330,15510,12979,8811,3669,4330,
16441,71106,41298,25728,14343,5337,
85226,351101,147053,94507,49242,6439,
9488,45998,30696,18697,11459,5148,
48315,220362,131428,81581,46120,7301,
6732,35379,20887,12388,7986,3944,
61529,276740,165200,100386,59679,6442,
5019417,20245417,6987748,4715914,2162843,97743,
658732,3507726,1888500,1173017,675761,33613,
14838,62322,39010,24298,13416,4602,
12458,59059,44865,25991,17731,8363,
14994,63022,38579,24145,13185,5657,
21389,93533,58677,37695,19230,6835,
864532,4125048,2199129,1383255,779095,30854,
67913,325307,203500,120599,77670,12371,
0,0,0,0,0,2243,
128324,574090,313763,193369,105151,9327,
19117,78740,50457,31432,17661,5226,
24391,124084,90294,54912,31844,8963,
249243,1072030,420589,300590,117756,9257,
983,4459,2804,1811,882,3212,
14962,62931,36073,22456,12410,3501,
17383,75214,49315,29971,17906,7165,
45192,198606,129747,82638,43278,11461,
90774,447548,224524,134651,84444,9334,
6608,34793,21681,12724,8411,4148,
51577,230183,136526,83299,48905,4387,
22713,94363,54690,33914,18680,5190,
8402960,38434486,15783308,10629937,5055345,135871,
16619600,76228056,30725152,20168685,10297979,206063,
28666339,132634775,54649838,37319742,17022346,256874,
19183494,97161410,45680007,31788461,13451815,276355,
12808654,66532632,23253893,18895432,4254269,319166,
13539482,77714127,28209162,21121507,6841983,407669,
74694,363048,226265,134002,86473,13503,
2535,9769,6988,4427,2532,3249,
61110,282301,185143,111385,67990,15088,
65127,263055,113899,74666,36725,7861,
10795,51667,41951,26358,14655,6937,
2587445,13964316,8372889,6076970,2184918,180472,
321587,1370860,641074,448857,176500,21711,
16077,67298,40420,25156,14080,5607,
14323,60097,37278,23128,13049,6070,
25432,119161,81418,48030,31369,10351,
53190,241929,155113,93250,58386,12282,
6589,34734,24330,14336,9368,6267,
50018,224110,136502,82974,49309,6833,
18528,76782,43212,27194,14937,6304,
121507,476339,181506,119453,59958,7379,
13301,56376,34030,21233,11709,4399,
0,0,0,0,0,1727,
17701,76786,47020,30331,15066,7117,
16951,71679,42500,26611,14852,5498,
3061807,14553490,7413810,4850841,2508233,66506,
798244,3779925,2137218,1350222,758830,34044,
21080,86322,40615,19933,8601,2677,
98137,477511,307343,181038,117914,14137,
21601,88674,51082,31984,17722,5150,
24816,117911,81420,48828,30871,11062,
37255,144569,82362,52261,28920,5841,
5018,27746,18786,11070,7359,2860,
13570,57596,32336,20168,11105,5064,
58180,298602,189150,122756,64415,11004,
1527,7500,5065,2971,1768,5211,
22897,101706,61299,37729,22093,5902,
33757,163150,98113,58060,37692,3685,
5248338,27215395,11682142,7571375,3940375,194313,
17184,69183,41087,25492,14439,4509,
56209,228713,107634,67170,37335,9823,
13288,56317,32054,20034,10973,4340,
2820,14810,12568,7757,3737,9863,
14159,61095,37525,23174,13175,4866,
13288,56317,31479,19790,10678,4473,
42920,187580,122445,77913,40340,14699,
806510,3838536,2161062,1361195,767802,25321,
27207,128618,75669,44738,29121,3619,
2139565,8581809,2884558,1921177,919404,14184,
14876,62590,38041,23696,13210,4991,
12360,54336,37992,23364,13876,5502,
408677,1954861,924682,627491,283502,19205,
6672,24007,13634,8319,5286,3006,
49528,201024,94481,63708,34960,10488,
262599,1049445,381051,248531,121148,5525,
88342,361173,140979,91167,47190,7856,
70269,353809,173188,104197,65254,12395,
33774,163273,96126,56926,36829,3978,
49990,223954,138604,84327,49985,4538,
15937,66454,40244,25089,14001,4344,
577075,2344266,797511,544206,257142,10899,
2210996,8881154,3032049,2010543,958698,42046,
401154,1862793,1088309,770387,307413,61009,
15626,69277,43736,26664,15782,5853,
175168,697449,265621,177233,84171,8782,
62670,257118,99191,65147,32807,6876,
3821844,14942241,4759504,3295829,1374414,77907,
804466,3822707,2147260,1353426,762788,19955,
121621,598162,338973,196449,135106,25299,
13279,56273,33795,20988,11731,4055,
82020,346750,160714,102335,55329,9242,
13436,57064,32638,20441,11135,4069,
153965,614651,222215,150744,67856,6385,
13514,57379,31473,19691,10777,3965,
19261,80034,42252,26795,14438,4094,
139162,552853,188814,128430,56941,6759,
874394,3476383,1197518,805150,374580,14485,
43453,209954,125638,74633,48314,5264,
1070855,5801468,3538205,2176282,1302028,118272,
185712,745929,295543,196550,94679,20244,
2989278,15150193,8304435,5469445,2718489,148793,
16550,70237,40907,25840,13827,3667,
12127,57405,41109,23372,16741,9124,
16694,70920,41052,25799,13970,4863,
17046,72773,40823,25761,13801,3532,
3071097,14590245,7385612,4827569,2493734,62981,
39417,188865,119707,71996,44490,9393,
766405,3624118,1996224,1262885,705963,19292,
886274,4741854,2806733,1711460,1047232,35000,
297769,1528543,820638,522022,292961,16462,
138355,656887,409378,251868,142898,13071,
3824237,14951039,4785588,3313090,1382966,65892,
983,4459,2798,1787,903,4049,
18465,79254,47241,29819,16070,4280,
20757,91001,62524,38881,22122,7062,
38026,163512,108904,69480,35397,13065,
30020,132743,77214,47346,27453,5084,
14709,73898,47996,28675,18498,6194,
169618,782101,464822,281172,170957,10312,
18408,78952,46361,29247,15843,4607,
30197,160341,131643,75188,54086,19380,
126698,533038,249871,170218,75586,15187,
2291,12121,10189,5889,3893,4381,
22710,98635,57145,35602,19721,7118,
31850,127634,74909,46802,26840,5086,
12804,63868,46156,28839,14571,7455,
18395,79039,42095,26750,14222,5359,
0,0,0,0,0,2384,
855058,4073570,2282585,1431443,813642,23250,
87849,395432,237332,144491,85174,5022,
21536,105665,69674,41739,26305,8303,
251719,1085442,432038,307937,121941,9768,
430531,1947060,1015416,718304,286649,61992,
43034,176630,84259,54543,27873,5851,
22596,93595,55592,34881,19641,5341,
2358,10388,6523,3825,2404,5502,
71137,359741,185905,112412,69769,12020,
38485,195502,76992,48553,26003,9125,
1061909,5748402,3464829,2132168,1277874,40972,
71130,321331,195148,118704,70237,5140,
3696,15208,10704,6543,4011,5498,
144388,684818,463036,289775,168170,38250,
108166,549300,340051,222161,114628,11593,
18687,78167,45741,28740,15707,4456,
467121,1948381,648028,441839,193276,14767,
291867,1165414,419150,280965,132537,12077,
28250,112836,69076,42916,24823,5833,
0,0,0,0,0,1718,
856268,4028226,2221002,1401821,786179,24966,
353011,1772413,1085405,670787,413771,13608,
614124,3215715,1704968,1051896,608542,15160,
278229,1528156,921602,570177,334558,16604,
4963,27315,18378,10885,7138,3163,
18526,79330,51779,32939,17003,6756,
1163087,4720156,1643298,1106510,527562,16454,
879623,3514864,1126406,751242,349784,6681,
14879,62486,37711,23612,12809,4819,
18507,90174,53098,31283,20104,5165,
66957,311053,198483,120127,71765,8760,
813578,4366209,2503608,1534258,930127,12268,
5997,25956,16839,10339,5775,5360,
261811,1461714,863944,538022,309889,12202,
81570,336266,135125,88644,44329,14086,
16799,71472,45077,28271,15428,5050,
16499,70020,42290,26606,14401,4519,
3107674,14748046,7528788,4919565,2540491,57074,
55164,245654,153755,93023,57618,10122,
0,0,0,0,0,1724,
620932,2534857,920738,600186,301089,15187,
845500,4001317,2222671,1399520,788672,23104,
101273,438743,191494,120684,66725,8822,
30102,140457,87877,53022,31903,7257,
0,0,0,0,0,1748,
262388,1044567,374515,249788,119097,10856,
71546,288106,121389,80229,38948,5738,
1511,7490,4860,2799,1757,6057,
18725,80309,46996,29964,15534,5735,
6588,34733,21028,12506,7977,3893,
53498,242508,140472,84736,51916,5819,
85231,388708,224270,136108,81652,5224,
1751,8164,5342,3281,1938,4645,
28318,117529,72418,45092,25122,5523,
10167,40963,25747,15876,9699,2905,
30548,138116,79625,50555,26462,5713,
66530,279849,186146,123508,60042,7007,
6269,31017,18909,11935,6454,5636,
15076,64736,36046,22759,12283,4559,
0,0,0,0,0,2044,
53570,242651,139588,84693,51589,4912,
849740,4025900,2237405,1411554,791847,18178,
33436,170905,106008,63037,40584,8068,
259969,1130124,461963,324648,134191,9607,
1262,4868,3720,2359,1349,2197,
21035,99241,59584,35999,21852,9403,
145312,577998,224192,148784,72189,6487,
6773,26338,17068,10324,6447,5570,
82815,399081,196183,121599,70446,8186,
6733,35385,21839,13035,8259,3925,
172716,720254,319789,201974,111241,9241,
290728,1465022,890390,546652,347219,11673,
1019249,5339184,2924079,1826687,1025211,27935,
141096,667173,438834,274974,157898,27144,
549756,3001699,2107616,1447162,632584,40318,
14983,62994,38986,24251,13430,4803,
15611,66506,43251,26703,15018,4541,
188554,791368,449294,280677,153716,26406,
18355,78753,51982,32848,17354,7212,
162,724,773,564,177,2369,
49334,225864,133241,79996,49722,5424,
1218593,6006782,3433220,2153070,1255294,28324,
418397,2288183,1260146,758039,449980,14828,
272397,1525636,917965,565334,333799,16294,
2828,11181,8820,5377,3323,3841,
16606,70552,42570,26817,14475,5149,
18890,82229,52538,32154,19016,6317,
36481,157018,100016,63528,32858,11695,
16506,70064,40253,25408,13638,4039,
6588,34733,21679,12899,8235,3909,
54573,246660,143269,86446,53366,6311,
90094,411412,244532,148517,88946,6293,
5005,21416,13127,8215,4451,5403,
16514,70097,42412,26448,14679,4032,
0,0,0,0,0,1726,
27458,111692,66471,40833,24192,7422,
21831,89769,50365,32012,17141,6244,
3100061,14717657,7475381,4879990,2528434,45196,
38300,184803,111339,67039,41359,8357,
0,0,0,0,0,1654,
78263,386850,234271,136930,91606,6622,
82469,374567,210621,128151,75901,4376,
826611,3890505,2126661,1344599,751436,23582,
130429,550295,255175,160565,89081,11194,
1278,6055,4576,2848,1551,3291,
28337,132361,78922,47486,29325,9636,
40019,162499,79679,51243,26653,7157,
1347,6726,4055,2350,1425,5563,
22344,101042,71193,43965,25663,7328,
6588,34733,22224,13211,8457,3825,
83997,368586,218446,137004,77554,8748,
96732,441965,265359,162138,94603,7632,
14000,63412,42560,25802,16229,6646,
14998,64293,37292,23434,12794,3926,
0,0,0,0,0,1623,
15001,64289,37578,23567,12943,3836,
20718,84835,50037,31114,17839,3572,
6219,30761,19849,12480,6840,5394,
15089,64696,36461,22994,12391,3803,
0,0,0,0,0,2046,
113225,478062,227150,141721,80752,9836,
110083,509523,309057,188314,121114,7639,
1726000,8930313,5063837,3149097,1830633,37561,
272613,1195255,503283,348628,150512,11923,
4431,24598,16752,9657,6794,3252,
75980,320433,149608,94463,52049,8446,
126689,526445,212297,143229,73251,8482,
1681501,6704765,2171296,1454432,680530,11018,
106694,553429,301279,189455,107414,10351,
32977,138205,59863,38752,19981,4897,
54233,245005,144860,87310,54055,6604,
74520,335888,192907,117554,69363,4019,
16239,74996,50257,31431,17650,7654,
190756,863088,513883,324936,182269,24573,
106521,547686,336447,220062,113467,14909,
113520,453907,176843,117715,55796,6570,
137296,547333,199992,134792,61145,6822,
42349,185103,121472,77927,39551,11529,
126824,505959,199517,132788,63275,7220,
1943,7123,6304,3868,2426,2717,
49511,226802,127991,76800,47783,6075,
81416,364398,205892,125461,73752,3947,
13430,61090,43755,27429,15080,6530,
805290,3832047,2148082,1351980,764931,20278,
74266,295182,104551,70606,32314,5075,
163530,663878,263946,170929,88589,9310,
13383,56675,32873,20519,11296,5180,
48918,195328,75154,50115,23742,8979,
13245,56116,30995,19479,10507,4135,
753331,3583941,2189344,1383926,770735,72467,
754270,3753459,2141652,1344757,769403,25136,
286923,1424526,741556,448655,274454,16822,
763375,3839617,2227186,1383840,814584,32456,
2680797,11217048,4344472,2859352,1424524,28992,
0,0,0,0,0,4654,
1045256,4925298,2447428,1551311,863017,19018,
13506,57268,36822,22961,12722,5267,
3067758,14567380,7345849,4805135,2477206,42165,
36022,175329,105248,63280,39064,7437,
0,0,0,0,0,2254,
75402,375143,229598,133933,89821,6417,
71878,325825,193960,117945,70031,3344,
624302,3179676,1928820,1225456,687925,20816,
1721135,8161435,4420454,2761362,1570156,56295,
83276,440183,256033,153422,97278,9758,
1332505,6705687,3599942,2225310,1314956,33188,
584373,2937308,1431159,868035,533006,19962,
923463,4657173,2576234,1603277,936924,23772,
712483,3552803,1984630,1247169,711685,17615,
714132,3716264,1843772,1105844,698052,23507,
1603601,8172784,4550510,2812603,1672572,62046,
335568,1641864,827514,499990,303184,11468,
861037,4315052,2410404,1507051,870651,30183,
1171593,5897801,3169267,1951348,1167875,40224,
225888,1162375,594857,357901,223789,12959,
1002083,5036872,2722562,1697469,986453,24727,
109004,539156,278989,169002,102932,9893,
3821165,22083398,8518904,6492812,1963643,233853,
6123979,34338426,12045097,10041594,1970335,105142,
6413953,40190805,13867384,11462417,2355372,162080,
71672,346022,202425,119322,78062,10413,
256606,1268383,787898,482265,305579,42562,
845454,4705584,2803020,1724401,1017226,79992,
923237,4074457,1964790,1268099,653036,79852,
2822,12287,7036,4415,2349,6277,
23811,99929,68856,43325,23663,8741,
342187,1692999,1062725,656213,403119,26182,
524246,2877964,1590581,976551,571654,22777,
302219,1678491,983436,607105,358245,25067,
9412,45772,31137,18827,11689,8503,
107645,502554,300318,182279,110413,11172,
87527,397730,237508,144722,85395,5401,
2431016,13143159,5385290,3500567,1836411,91420,
691032,3521831,2287637,1427013,835843,65341,
228275,1028474,534155,349585,179430,26976,
34991,157322,100358,60366,37142,8280,
24636,104163,66390,41332,23040,8016,
229294,911882,360307,236900,118842,13493,
810104,4372614,2600429,1607908,953907,35200,
0,0,0,0,0,1606,
285630,1576856,940364,579690,342999,17128,
118761,523221,279183,172338,99178,7080,
12857,58866,40651,25600,13966,7062,
24908,110663,69168,43145,24529,5333,
870263,4166107,2368654,1478168,853578,36907,
276320,1292306,769786,500107,265282,9853,
24308,102551,64356,40188,22264,5224,
78478,342147,167359,103175,61170,12505,
819526,4424221,2626761,1619770,967151,19917,
9121,47736,34637,20341,13580,7421,
286069,1579070,937311,577938,341459,14336,
87278,396786,229192,139404,82655,5758,
4909,20927,13736,8721,4568,4208,
19292,84927,53542,33022,19137,4631,
14315,73966,49602,29807,19165,4670,
16594,70545,39082,24659,13230,3897,
94830,465292,212926,126862,83264,27521,
3076238,14617411,7443636,4864153,2513662,62295,
825088,4454946,2634708,1624308,971001,16775,
0,0,0,0,0,2194,
321215,1767044,1050970,642183,388389,16653,
86825,394824,230399,140556,82680,5004,
69584,281713,121656,80013,39326,10304,
778225,4179965,2407384,1478274,893740,14934,
696689,3266636,1800484,1135590,637324,19035,
274349,1531891,907108,558122,331843,14532,
22060,92280,59983,37330,20738,4634,
14190,71028,43981,25814,16980,6882,
842239,4556280,2681801,1659794,983760,14091,
1437659,7239980,4489040,2967605,1502580,79654,
5932689,29842719,16371503,10468861,5712992,353763,
964437,4657416,2557542,1660200,873966,82959,
1685583,9153438,5355916,3306287,1964618,59394,
1751763,9076676,5066282,3293285,1766933,80340,
1295834,6762338,3838454,2395834,1322666,237916,
2658138,12313199,5780224,3928166,1774630,302229,
3421691,13936339,5067468,3464840,1528230,103146,
1150687,6152489,3546952,2208255,1294276,44570,
1491736,7744920,4206858,2694732,1481668,34150,
297513,1455606,791396,501570,266701,17298,
4215833,20853789,10536199,6771520,3640610,78219,
970919,4583058,2493619,1614490,830544,86898,
4902417,24242786,13059963,8334854,4585996,112056,
1609745,8075117,4511005,2912733,1563239,52855,
3901132,18614430,9207138,5968756,3123231,33521,
4366041,22786506,11594089,7298355,4121332,132403,
1209933,5561030,2528703,1651989,822010,30155,
4799376,23724366,12560823,8038422,4403507,58188,
1601571,8296007,4488377,2861662,1591916,44048,
1505486,7245367,3847652,2528109,1284494,26596,
2233682,11299501,6374141,4038919,2260291,37921,
1246344,6159524,3042925,1938039,1054389,39041,
2455566,12576929,7203629,4554258,2573809,34193,
1754382,8726703,4657825,2972666,1628147,51101,
2048449,10532755,5939138,3733973,2138765,58686,
2921803,14787040,8169634,5208801,2871162,48362,
890796,3973980,1741632,1176256,541166,21037,
5272976,26680437,13712621,8791560,4791689,100424,
2397856,11930549,6145268,3904716,2167115,54596,
1141155,5846804,3168594,1949969,1178859,25873,
2055708,10060501,5606102,3555849,1976882,34417,
3297997,13518265,4857631,3239784,1528802,93995,
1628504,8149480,4733370,3020705,1671234,31556,
1247479,6322915,3327319,2078441,1209511,25920,
1186573,5784642,3248299,2074670,1141786,17112,
2409906,11700999,6531604,4145130,2310132,93727,
958751,4649028,2293560,1392801,834974,23040,
6258112,34678478,16578342,10416382,5959359,161927,
1851514,9132228,5295503,3459967,1779751,67252,
6021338,30637821,15432438,9828643,5420711,92277,
5534927,30445908,14376033,9154768,5080382,81077,
1214773,6043516,3115238,1956711,1068555,44409,
4262008,20918270,11061825,7120291,3843803,37881,
2665201,13971603,7929899,5010220,2827033,146647,
423572,2120677,1150181,739786,400968,32116,
1593777,8250062,4658234,2946532,1648666,36803,
586778,2776690,1357848,915005,424508,22517,
1122619,5931144,3375130,2114229,1223499,24576,
1640138,8018343,4223716,2804086,1384624,26999,
6480818,32111238,15137744,9460265,5422215,87430,
2530801,13054337,7351987,4554760,2682007,57492,
962934,4483382,2145994,1402855,706803,32074,
5612619,33906168,15922511,9640346,6090002,212263,
3833242,35440699,11364108,6397750,4828111,210186,
2706205,15708455,6647377,4276367,2282893,58305,
2569872,12023057,6227432,4039227,2085712,126305,
614978,2896758,1456144,976647,459845,34789,
1951552,8807515,3799995,2424219,1321847,71992,
3439205,16239844,7757536,4957821,2688965,139002,
270464,1318951,664561,460208,217143,21840,
1211226,6521525,3671194,2247737,1343469,63272,
661758,3111989,1549200,1032057,492878,24055,
631052,3607521,2010851,1204874,778328,43324,
1177812,6168231,3206143,2014071,1149539,30191,
26106,113481,66599,41946,22982,9462,
1192778,6238176,3220567,2020626,1156657,28453,
607675,2854654,1403092,942404,441557,21620,
1562925,7281506,3293102,2064431,1184314,32789,
1953041,10380895,5785535,3608976,2099763,54756,
220685,1488865,891649,521552,362145,170980,
3543461,18368784,8225190,5547892,2568816,334451,
777729,3570324,1726641,1152618,547414,26309,
612791,3496226,1995111,1190098,777358,22857,
1215855,6340816,3409298,2141649,1221875,77292,
623530,2874398,1493888,955839,504224,29433,
2284228,11669903,6635425,4227515,2338771,106534,
1634845,7526945,3845089,2476134,1294300,96165,
2393913,12672097,7448143,4647325,2712307,85803,
7751828,38594154,17644895,11079214,6399742,186033,
9943651,49599784,21636166,13425139,7981107,171358,
13535983,67433912,29610060,18374708,10969760,221131,
12034851,59563317,25375335,15749731,9372932,221192,
13370142,66396127,29044919,18030630,10717086,213302,
13256949,66046321,29556710,18381264,10899665,276693,
11337638,56332130,24080099,15011130,8826400,532318,
14006851,69774852,30534615,19163875,11076550,307988,
13124888,64935812,27550844,17091914,10159191,198520,
9206194,45886643,20807481,12949112,7639896,121225,
2888833,14741266,8233856,5251749,2897753,122477,
1287366,6674331,3524687,2195870,1258919,34561,
4327051,22492036,11011164,7074582,3790219,129853,
4129232,36120645,11753952,6692373,4918614,260703,
3143778,17341947,8603298,5408310,3049830,84838,
1769364,8700918,4718372,3054191,1601302,43836,
1407496,7363048,3934430,2456952,1420296,35553,
2891749,15833743,7611005,4779785,2701217,71316,
1123423,5385180,2754602,1782249,938851,61059,
5557281,25871284,12538470,7935532,4398127,173099,
1914701,9602604,5244294,3378579,1804829,79835,
1250140,6615500,3516872,2179340,1286677,41225,
2084475,10757883,5978250,3743137,2141063,52584,
918462,4466134,2246041,1449933,758113,31390,
1551119,8055143,4530444,2839544,1637588,33750,
1590017,7799272,4191051,2728383,1410358,29555,
1092546,5735628,2972528,1875679,1064804,24588,
638329,3572284,1983860,1182929,765835,21906,
597425,2817309,1371539,923643,428999,16581,
645930,3612740,2078593,1245679,800530,33492,
2043012,10444840,5923119,3813173,2045115,71311,
3194306,15344725,7527840,4847931,2600046,37175,
986110,5415160,3105623,1879891,1175137,62407,
260775,1241319,681142,445543,231557,23315,
3117517,16281664,6991534,4682360,2224848,533921,
1209543,6265619,3298021,2073436,1178828,39496,
7349,40172,26207,14785,11048,12286,
2147171,10790975,5897800,3767226,2060354,69449,
599267,3042621,1835209,1156819,666727,43373,
2817729,14190810,7721920,4871404,2716055,116616,
1744661,8942958,4985389,3208112,1734556,66337,
174054,973161,567606,333578,208810,8033,
4308820,20978487,10764439,6969190,3687343,67651,
211604,1000917,562709,363183,194806,22230,
1502790,7697329,4189734,2673658,1463147,27833,
1159464,6037168,3156224,1988025,1125704,27113,
1272,6612,7185,3882,3176,4417,
1152761,6007289,3116028,1962252,1112547,22876,
507014,3202355,1842622,1109622,723241,250511,
2908854,14367356,5802624,4024038,1696101,253478,
2060101,10759362,5870868,3673598,2115840,93136,
306,1512,1005,576,408,2482,
1484615,7828808,4301968,2687296,1550681,71543,
126574,583662,364389,224990,131916,15671,
1107173,5786426,2997596,1887458,1070176,21872,
1396157,7058991,3555104,2276135,1235122,35003,
162,804,720,510,197,3107,
1151422,6002607,3104336,1954444,1108425,23414,
110477,541931,296757,196569,101206,12132,
2640311,12824870,6768817,4274531,2402262,183684,
